displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
Diagnosis Age,Age at which a condition or disease was first diagnosed.,NUMBER,True,1,AGE,coadread_tcga
American Joint Committee on Cancer Metastasis Stage Code,"Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).",STRING,True,1,AJCC_METASTASIS_PATHOLOGIC_PM,coadread_tcga
Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code,The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.,STRING,True,1,AJCC_NODES_PATHOLOGIC_PN,coadread_tcga
Neoplasm Disease Stage American Joint Committee on Cancer Code,"The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.",STRING,True,1,AJCC_PATHOLOGIC_TUMOR_STAGE,coadread_tcga
American Joint Committee on Cancer Publication Version Type,"The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.",STRING,True,1,AJCC_STAGING_EDITION,coadread_tcga
American Joint Committee on Cancer Tumor Stage Code,"Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).",STRING,True,1,AJCC_TUMOR_PATHOLOGIC_PT,coadread_tcga
BRAF Gene Analysis Indicator,BRAF Gene Analysis Indicator,STRING,True,1,BRAF_GENE_ANALYSIS_INDICATOR,coadread_tcga
BRAF Gene Analysis Result,BRAF Gene Analysis Result,STRING,True,1,BRAF_GENE_ANALYSIS_RESULT,coadread_tcga
Cancer Type,Cancer type,STRING,False,1,CANCER_TYPE,coadread_tcga
Cancer Type Detailed,Cancer type detailed,STRING,False,1,CANCER_TYPE_DETAILED,coadread_tcga
Neoplasm American Joint Committee on Cancer Clinical Group Stage,"Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.",STRING,True,1,CLINICAL_STAGE,coadread_tcga
Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage,Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,STRING,True,1,CLIN_M_STAGE,coadread_tcga
Neoplasm American Joint Committee on Cancer Clinical Regional Lymph Node N Stage,Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,STRING,True,1,CLIN_N_STAGE,coadread_tcga
Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage,Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,STRING,True,1,CLIN_T_STAGE,coadread_tcga
Days to Sample Collection.,Days to sample collection.,NUMBER,False,1,DAYS_TO_COLLECTION,coadread_tcga
Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value,"Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.",NUMBER,True,1,DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS,coadread_tcga
days_to_patient_progression_free,days_to_patient_progression_free,STRING,True,1,DAYS_TO_PATIENT_PROGRESSION_FREE,coadread_tcga
Days to Sample Procurement,Days to sample procurement.,STRING,False,1,DAYS_TO_SPECIMEN_COLLECTION,coadread_tcga
days_to_tumor_progression,days_to_tumor_progression,STRING,True,1,DAYS_TO_TUMOR_PROGRESSION,coadread_tcga
Disease Free (Months),Disease free (months) since initial diagnosis.,NUMBER,True,1,DFS_MONTHS,coadread_tcga
Disease Free Status,Disease free status since initial diagnosis.,STRING,True,1,DFS_STATUS,coadread_tcga
Disease code,Disease code,STRING,True,1,DISEASE_CODE,coadread_tcga
Ethnicity Category,The text for reporting information about ethnicity.,STRING,True,1,ETHNICITY,coadread_tcga
Lymphomatous Extranodal Site Involvement Indicator,Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.,STRING,True,1,EXTRANODAL_INVOLVEMENT,coadread_tcga
Form completion date,Form completion date,STRING,True,1,FORM_COMPLETION_DATE,coadread_tcga
Fraction Genome Altered,Fraction Genome Altered,NUMBER,False,20,FRACTION_GENOME_ALTERED,coadread_tcga
Patient Height,Height in centimeters.,NUMBER,True,1,HEIGHT,coadread_tcga
Neoplasm Histologic Type Name,Text term for the structural pattern of cancer cells used to define a microscopic diagnosis.,STRING,True,1,HISTOLOGICAL_DIAGNOSIS,coadread_tcga
Neoadjuvant Therapy Type Administered Prior To Resection Text,Text term to describe the patient's history of neoadjuvant treatment and the kind of treament given prior to resection of the tumor.,STRING,True,1,HISTORY_NEOADJUVANT_TRTYN,coadread_tcga
Prior Cancer Diagnosis Occurence,Text term to describe the patient's history of prior cancer diagnosis and the spatial location of any previous cancer occurrence.,STRING,True,1,HISTORY_OTHER_MALIGNANCY,coadread_tcga
ICD-10 Classification,10th revision of the International Statistical Classification of Diseases and Related Health Problems.,STRING,True,1,ICD_10,coadread_tcga
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.",STRING,True,1,ICD_O_3_HISTOLOGY,coadread_tcga
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.",STRING,True,1,ICD_O_3_SITE,coadread_tcga
Informed consent verified,Informed consent verified,STRING,True,1,INFORMED_CONSENT_VERIFIED,coadread_tcga
Initial pathologic diagnosis method,Initial pathologic diagnosis method,STRING,True,1,INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD,coadread_tcga
