displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
Diagnosis Age,Age at which a condition or disease was first diagnosed.,NUMBER,True,1,AGE,coadread_tcga_pan_can_atlas_2018
Neoplasm Disease Stage American Joint Committee on Cancer Code,"The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.",STRING,True,1,AJCC_PATHOLOGIC_TUMOR_STAGE,coadread_tcga_pan_can_atlas_2018
American Joint Committee on Cancer Publication Version Type,"The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.",STRING,True,1,AJCC_STAGING_EDITION,coadread_tcga_pan_can_atlas_2018
Aneuploidy Score,Aneuploidy Score,NUMBER,False,1,ANEUPLOIDY_SCORE,coadread_tcga_pan_can_atlas_2018
Buffa Hypoxia Score,mRNA based Buffa Hypoxia Score,NUMBER,True,1,BUFFA_HYPOXIA_SCORE,coadread_tcga_pan_can_atlas_2018
Cancer Type,Cancer Type,STRING,False,1,CANCER_TYPE,coadread_tcga_pan_can_atlas_2018
TCGA PanCanAtlas Cancer Type Acronym,Text field to hold cancer type acronym used by TCGA PanCanAtlas.,STRING,True,1,CANCER_TYPE_ACRONYM,coadread_tcga_pan_can_atlas_2018
Cancer Type Detailed,Cancer Type Detailed,STRING,False,1,CANCER_TYPE_DETAILED,coadread_tcga_pan_can_atlas_2018
Last Communication Contact from Initial Pathologic Diagnosis Date,"Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days..",NUMBER,True,1,DAYS_LAST_FOLLOWUP,coadread_tcga_pan_can_atlas_2018
Birth from Initial Pathologic Diagnosis Date,"Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.",NUMBER,True,1,DAYS_TO_BIRTH,coadread_tcga_pan_can_atlas_2018
Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value,"Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.",NUMBER,True,1,DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS,coadread_tcga_pan_can_atlas_2018
Disease Free (Months),Disease free (months) since initial treatment.,NUMBER,True,1,DFS_MONTHS,coadread_tcga_pan_can_atlas_2018
Disease Free Status,Disease free status since initial treatment.,STRING,True,1,DFS_STATUS,coadread_tcga_pan_can_atlas_2018
Months of disease-specific survival,The time period (months) usually begins at the time of diagnosis or at the start of treatment and ends at the time of death.,NUMBER,True,1,DSS_MONTHS,coadread_tcga_pan_can_atlas_2018
Disease-specific Survival status,The time period usually begins at the time of diagnosis or at the start of treatment and ends at the time of death.,STRING,True,1,DSS_STATUS,coadread_tcga_pan_can_atlas_2018
Ethnicity Category,The text for reporting information about ethnicity.,STRING,True,1,ETHNICITY,coadread_tcga_pan_can_atlas_2018
Form completion date,Form completion date,STRING,True,1,FORM_COMPLETION_DATE,coadread_tcga_pan_can_atlas_2018
Fraction Genome Altered,Fraction Genome Altered,NUMBER,False,20,FRACTION_GENOME_ALTERED,coadread_tcga_pan_can_atlas_2018
Genetic Ancestry Label,Genetic ancestries were determined using five different methods as described in Carrot-Zhang et al (2020). These consensus calls were created based on the ancestral population that received the majority of assignments for each patient.,STRING,True,1,GENETIC_ANCESTRY_LABEL,coadread_tcga_pan_can_atlas_2018
Neoplasm Histologic Grade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.",STRING,False,1,GRADE,coadread_tcga_pan_can_atlas_2018
Neoadjuvant Therapy Type Administered Prior To Resection Text,Text term to describe the patient's history of neoadjuvant treatment and the kind of treatment given prior to resection of the tumor.,STRING,True,1,HISTORY_NEOADJUVANT_TRTYN,coadread_tcga_pan_can_atlas_2018
ICD-10 Classification,10th revision of the International Statistical Classification of Diseases and Related Health Problems.,STRING,True,1,ICD_10,coadread_tcga_pan_can_atlas_2018
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.",STRING,True,1,ICD_O_3_HISTOLOGY,coadread_tcga_pan_can_atlas_2018
